Yr,Rnd,Pick,Draft Position,DP Normalizado,Tm,Tm #,Tm # Normalizado,Player,Pos,Pos #,Pos # Normalizado,Age,Age Normalizado,CarAV,AvgAV,AvgAV Categorizado,College/Univ,College #,College # Normalizado,Conference,Conference #,Conference # Norm,NFL.com Grade,SPORQ,SPORQ Normalizado
2012,3,93,6,"0,5555555556",CIN,17,"0,5151515152",Brandon Thompson\ThomBr01,DT,4,"0,2857142857",22,"0,3333333333",7,"1,0000000000",1,Clemson,20,"0,1273885350",ACC,2,"0,1538461538","0,7747747748","181,8256453000","0,5212213621"
2012,3,95,6,"0,5555555556",OAK,30,"0,9090909091",Tony Bergstrom\BergTo00,T,10,"0,7142857143",26,"1,0000000000",6,"0,8571428571",0,Utah,46,"0,2929936306",PAC12,0,"0,0000000000","0,3153153153","176,2016974000","0,4599020340"
2012,4,96,7,"0,6666666667",STL,7,"0,2121212121",Chris Givens\GiveCh00,WR,2,"0,1428571429",22,"0,3333333333",12,"1,7142857143",1,Wake Forest,47,"0,2993630573",ACC,2,"0,1538461538","0,6936936937","182,5716117000","0,5293548227"
2012,4,99,7,"0,6666666667",HOU,16,"0,4848484848",Ben Jones\JoneBe01,C,12,"0,8571428571",23,"0,5000000000",30,"4,2857142857",2,Georgia,23,"0,1464968153",SEC,1,"0,0769230769","0,6612612613","176,5758930000","0,4639819834"
2012,4,102,7,"0,6666666667",WAS,26,"0,7878787879",Kirk Cousins\CousKi00,QB,0,"0,0000000000",24,"0,6666666667",41,"5,8571428571",3,Michigan St.,26,"0,1656050955",Big10,6,"0,4615384615","0,5675675676","160,5502421000","0,2892502536"
2012,4,105,7,"0,6666666667",BUF,4,"0,1212121212",Nigel Bradham\BradNi00,LB,5,"0,3571428571",23,"0,5000000000",33,"4,7142857143",2,Florida St.,48,"0,3057324841",ACC,2,"0,1538461538","0,5081081081","198,1821252000","0,6995602043"
2012,4,106,7,"0,6666666667",SEA,8,"0,2424242424",Robert Turbin\TurbRo00,RB,3,"0,2142857143",22,"0,3333333333",16,"2,2857142857",1,Utah St.,49,"0,3121019108",MW,5,"0,3846153846","0,4774774775","196,7271993000","0,6836967788"
2012,4,108,7,"0,6666666667",DEN,21,"0,6363636364",Philip Blake\BlakPh00,OL,13,"0,9285714286",26,"1,0000000000",0,"0,0000000000",0,Baylor,10,"0,0636942675",Big12,4,"0,3076923077","0,4900900901","181,3247988000","0,5157605059"
2012,4,110,7,"0,6666666667",SDG,10,"0,3030303030",Ladarius Green\GreeLa00,TE,11,"0,7857142857",22,"0,3333333333",11,"1,5714285714",1,Louisiana-Lafayette,53,"0,3375796178",SB,8,"0,6153846154","0,2612612613","192,7905584000","0,6407745862"
2012,4,111,7,"0,6666666667",CHI,11,"0,3333333333",Evan Rodriguez\RodrEv00,TE,11,"0,7857142857",23,"0,5000000000",0,"0,0000000000",0,Temple,43,"0,2738853503",AA,3,"0,2307692308","0,2207207207","197,0169578000","0,6868560891"
2012,4,112,7,"0,6666666667",ARI,28,"0,8484848485",Bobby Massie\MassBo00,T,10,"0,7142857143",23,"0,5000000000",32,"4,5714285714",2,Mississippi,50,"0,3184713376",SEC,1,"0,0769230769","0,7837837838","172,9212327000","0,4241342967"
2012,4,113,7,"0,6666666667",DAL,2,"0,0606060606",Kyle Wilber\WilbKy00,LB,5,"0,3571428571",23,"0,5000000000",12,"1,7142857143",1,Wake Forest,47,"0,2993630573",ACC,2,"0,1538461538","0,3423423423","191,7225219000","0,6291295138"
2012,4,114,7,"0,6666666667",SEA,8,"0,2424242424",Jaye Howard\HowaJa00,DT,4,"0,2857142857",23,"0,5000000000",17,"2,4285714286",1,Florida,51,"0,3248407643",SEC,1,"0,0769230769","0,3369369369","188,8761923000","0,5980952614"
2012,4,115,7,"0,6666666667",TEN,12,"0,3636363636",Coty Sensabaugh\SensCo00,DB,6,"0,4285714286",23,"0,5000000000",15,"2,1428571429",1,Clemson,20,"0,1273885350",ACC,2,"0,1538461538","0,2702702703","191,8465742000","0,6304820874"
2012,4,118,7,"0,6666666667",MIN,1,"0,0303030303",Jarius Wright\WrigJa02,WR,2,"0,1428571429",22,"0,3333333333",18,"2,5714285714",1,Arkansas,44,"0,2802547771",SEC,1,"0,0769230769","0,4900900901","186,1353867000","0,5682115639"
2012,4,120,7,"0,6666666667",CLE,22,"0,6666666667",James-Michael Johnson\JohnJa04,LB,5,"0,3571428571",23,"0,5000000000",11,"1,5714285714",1,Nevada,54,"0,3439490446",MW,5,"0,3846153846","0,4954954955","199,1685475000","0,7103154164"
2012,4,121,7,"0,6666666667",HOU,16,"0,4848484848",Keshawn Martin\MartKe01,WR,2,"0,1428571429",22,"0,3333333333",7,"1,0000000000",1,Michigan St.,26,"0,1656050955",Big10,6,"0,4615384615","0,6216216216","190,1275469000","0,6117390975"
2012,4,125,7,"0,6666666667",DET,14,"0,4242424242",Ronnell Lewis\LewiRo02,LB,5,"0,3571428571",21,"0,1666666667",0,"0,0000000000",0,Oklahoma,38,"0,2420382166",Big12,4,"0,3076923077","0,7567567568","189,0218787000","0,5996837171"
2012,4,126,7,"0,6666666667",HOU,16,"0,4848484848",Jared Crick\CricJa00,DE,1,"0,0714285714",23,"0,5000000000",27,"3,8571428571",2,Nebraska,28,"0,1783439490",Big10,6,"0,4615384615","0,7603603604","181,2857784000","0,5153350566"
2012,4,130,7,"0,6666666667",BAL,24,"0,7272727273",Christian Thompson\ThomCh01,DB,6,"0,4285714286",22,"0,3333333333",0,"0,0000000000",0,South Carolina St.,55,"0,3503184713",MAC,12,"0,9230769231","0,2117117117","185,8342921000","0,5649286532"
2012,4,131,7,"0,6666666667",NYG,20,"0,6060606061",Brandon Mosley\MoslBr00,T,10,"0,7142857143",23,"0,5000000000",2,"0,2857142857",0,Auburn,56,"0,3566878981",SEC,1,"0,0769230769","0,5675675676","178,9597329000","0,4899735935"
2012,4,133,7,"0,6666666667",GNB,18,"0,5454545455",Jerron McMillian\McMiJe00,DB,6,"0,4285714286",23,"0,5000000000",2,"0,2857142857",0,Maine,57,"0,3630573248",Div1,9,"0,6923076923","0,2882882883","189,4912726000","0,6048016377"
2012,5,137,8,"0,7777777778",DEN,21,"0,6363636364",Malik Jackson\JackMa02,DT,4,"0,2857142857",22,"0,3333333333",34,"4,8571428571",2,Tennessee,58,"0,3694267516",SEC,1,"0,0769230769","0,1531531532","181,7806085000","0,5207303145"
2012,5,138,8,"0,7777777778",DET,14,"0,4242424242",Tahir Whitehead\WhitTa00,LB,5,"0,3571428571",22,"0,3333333333",27,"3,8571428571",2,Temple,43,"0,2738853503",AA,3,"0,2307692308","0,2297297297","196,6695367000","0,6830680689"
2012,5,139,8,"0,7777777778",MIN,1,"0,0303030303",Robert Blanton\BlanRo00,DB,6,"0,4285714286",23,"0,5000000000",9,"1,2857142857",1,Notre Dame,15,"0,0955414013",IND,7,"0,5384615385","0,3333333333","184,4796958000","0,5501591468"
2012,5,141,8,"0,7777777778",WAS,26,"0,7878787879",Adam Gettis\GettAd00,G,9,"0,6428571429",23,"0,5000000000",2,"0,2857142857",0,Iowa,12,"0,0764331210",Big10,6,"0,4615384615","0,1936936937","186,4669799000","0,5718270085"
2012,5,142,8,"0,7777777778",JAX,23,"0,6969696970",Brandon Marshall\MarsBr01,LB,5,"0,3571428571",22,"0,3333333333",27,"3,8571428571",2,Nevada,54,"0,3439490446",MW,5,"0,3846153846","0,2252252252","184,5815105000","0,5512692582"
2012,5,143,8,"0,7777777778",CAR,3,"0,0909090909",Josh Norman\NormJo01,DB,6,"0,4285714286",24,"0,6666666667",32,"4,5714285714",2,Coastal Carolina,59,"0,3757961783",SB,8,"0,6153846154","0,6036036036","180,0375632000","0,5017254502"
2012,5,144,8,"0,7777777778",BUF,4,"0,1212121212",Zebrie Sanders\SandZe00,OL,13,"0,9285714286",22,"0,3333333333",0,"0,0000000000",0,Florida St.,48,"0,3057324841",ACC,2,"0,1538461538","0,7423423423","167,1092518000","0,3607647972"
2012,5,147,8,"0,7777777778",BUF,4,"0,1212121212",Tank Carder\CardTa00,LB,5,"0,3571428571",23,"0,5000000000",5,"0,7142857143",0,TCU,60,"0,3821656051",Big12,4,"0,3076923077","0,2072072072","196,7890624000","0,6843712878"
2012,5,149,8,"0,7777777778",SDG,10,"0,3030303030",Johnnie Troutman\TrouJo00,G,9,"0,6428571429",24,"0,6666666667",14,"2,0000000000",1,Penn St.,61,"0,3885350318",Big10,6,"0,4615384615","0,2342342342","181,2975097000","0,5154629659"
2012,5,150,8,"0,7777777778",STL,7,"0,2121212121",Rokevious Watkins\WatkRo00,G,9,"0,6428571429",23,"0,5000000000",1,"0,1428571429",0,South Carolina,4,"0,0254777070",SEC,1,"0,0769230769","0,2702702703","178,1658455000","0,4813176381"
2012,5,151,8,"0,7777777778",ARI,28,"0,8484848485",Senio Kelemete\KeleSe00,G,9,"0,6428571429",22,"0,3333333333",16,"2,2857142857",1,Washington,62,"0,3949044586",PAC12,0,"0,0000000000","0,5585585586","168,6172562000","0,3772069511"
2012,5,152,8,"0,7777777778",DAL,2,"0,0606060606",Danny Coale\CoalDa00,WR,2,"0,1428571429",24,"0,6666666667",0,"0,0000000000",0,Virginia Tech,16,"0,1019108280",ACC,2,"0,1538461538","0,3009009009","183,2368175000","0,5366077299"
2012,5,157,8,"0,7777777778",ATL,29,"0,8787878788",Bradie Ewing\EwinBr00,RB,3,"0,2142857143",22,"0,3333333333",0,"0,0000000000",0,Wisconsin,14,"0,0891719745",Big10,6,"0,4615384615","0,1801801802","195,8544962000","0,6741814759"
2012,5,158,8,"0,7777777778",OAK,30,"0,9090909091",Jack Crawford\CrawJa00,DE,1,"0,0714285714",24,"0,6666666667",10,"1,4285714286",1,Penn St.,61,"0,3885350318",Big10,6,"0,4615384615","0,4270270270","198,5810588000","0,7039098784"
2012,5,159,8,"0,7777777778",PIT,15,"0,4545454545",Chris Rainey\RainCh00,RB,3,"0,2142857143",24,"0,6666666667",1,"0,1428571429",0,Florida,51,"0,3248407643",SEC,1,"0,0769230769","0,5441441441","190,3195719000","0,6138327947"
