Tm # Normalizado,Pos # Normalizado,Age Normalizado,Alt1AAV Cat,C# Norm,Grade,SPORQ Normalizado
0.7575757576,0.2857142857,0.1666666667,0,0,0.6906077348,0.6608834762
0.1515151515,0.4285714286,0.3333333333,1,0,0.5276243094,0.5935576361
0.6666666667,0.8571428571,0.5,0,0.1428571429,0.5055248619,0.6445677697
0.8484848485,0.7142857143,0.1666666667,0,0.07142857143,0.6215469613,0.5251800182
0.09090909091,0.3571428571,0.1666666667,1,0,0.4640883978,0.6214610768
0.06060606061,0.4285714286,0.3333333333,1,0.2142857143,0.4447513812,1.000001357
0.4242424242,0.6428571429,0.5,1,0.1428571429,0.4447513812,0.4912206335
0,0.1428571429,0.3333333333,0,0.1428571429,0.5138121547,0.5970056558
0.5454545455,0.5714285714,0.5,0,0,0.453038674,0.6138557824
0.9393939394,0.3571428571,0.5,0,0.1428571429,0.4889502762,0.7859803214
0.3939393939,0.2857142857,0.1666666667,1,0.2857142857,0.6132596685,0.5348664097
0.6060606061,0.5714285714,0.1666666667,1,0.07142857143,0.6408839779,0.6108932219
0.5757575758,0.7142857143,0.3333333333,1,0.4285714286,0.4475138122,0.6404543893
0.696969697,0.2142857143,0.1666666667,1,0.07142857143,0.4668508287,0.6120286027
0.2727272727,0.1428571429,0.5,0,0.4285714286,0.4917127072,0.5944724799
0.7878787879,0.07142857143,0.3333333333,1,0.07142857143,0.4889502762,0.7575371168
0.3636363636,0.1428571429,0.3333333333,0,0.2857142857,0.4944751381,0.5871867023
0.8787878788,0.4285714286,0.3333333333,0,0.07142857143,0.6049723757,0.6180024799
0.4848484848,0.3571428571,0.3333333333,1,0.07142857143,0.4917127072,0.7418235758
0.1818181818,0.4285714286,0.3333333333,0,0,0.453038674,0.7434741216
0.1515151515,0.6428571429,0.5,1,0.07142857143,0.4419889503,0.6571810736
0.1212121212,0.4285714286,0.1666666667,0,0.1428571429,0.5110497238,0.7170997981
0.6666666667,0.07142857143,0.3333333333,0,0,0.4640883978,0.532388364
0.8181818182,0.2857142857,0.3333333333,0,0.2857142857,0.5220994475,0.5944126253
0.5151515152,0.7142857143,0.3333333333,0,0,0.5110497238,0.7554788697
0.4242424242,0.2142857143,0.3333333333,0,0.4285714286,0.4668508287,0.841234752
0.7272727273,0.7857142857,0.1666666667,0,0.4285714286,0.4392265193,0.5886869325
0.4545454545,0.4285714286,0.3333333333,0,0.07142857143,0.4419889503,0.4560154408
0.2121212121,0.7142857143,0.5,1,0.4285714286,0.4392265193,0.3092090807
0.6363636364,0.7142857143,0.5,0,0.3571428571,0.3977900552,0.4330620642
0.5757575758,0.8571428571,0.3333333333,1,0.9285714286,0.4226519337,0.6612829129
0.5454545455,0.4285714286,0.5,0,0.8571428571,0.4751381215,0.5268894274
0.2424242424,0.07142857143,0.3333333333,1,0.4285714286,0.4419889503,0.8294281195
0.3939393939,0.5714285714,0.3333333333,0,0,0.3342541436,0.4490055856
0.9696969697,0,0.1666666667,2,0,0.6906077348,0.2777600328
0.1818181818,0,0.5,2,0.6428571429,0.6961325967,0.5738307913
0.303030303,0.07142857143,0.1666666667,1,0.4285714286,0.7486187845,0.7182446495
0.696969697,0.4285714286,0.1666666667,2,0.1428571429,0.7790055249,0.8165502435
0.3636363636,0.7142857143,0.3333333333,1,0.4285714286,0.6602209945,0.5489980203
0.9393939394,0.2857142857,0.3333333333,1,0.1428571429,0.6243093923,0.7415817141
0.4242424242,0.7142857143,0.5,1,0.4285714286,0.5276243094,0.425889818
0.8787878788,0.5714285714,0.1666666667,0,0.07142857143,0.5165745856,0.6746309648
0,0.8571428571,0.5,1,0.07142857143,0.5138121547,0.5662892625
0.1212121212,0.07142857143,0.3333333333,0,0.1428571429,0.6049723757,0.7416025252
0.2727272727,0.3571428571,0.1666666667,1,0.4285714286,0.6243093923,0.7853970786
0.4848484848,0.1428571429,0.3333333333,0,0.5,0.6215469613,0.5222316983
0.7878787879,0.1428571429,0.5,0,0.2857142857,0.5828729282,0.7545894011
0.6363636364,0,0.3333333333,0,0.2142857143,0.5966850829,0.6173582192
0.5454545455,0.2857142857,0,1,0,0.544198895,0.5713292469
0.7575757576,0.6428571429,0.3333333333,0,0,0.5193370166,0.4712635227
0.09090909091,0.2857142857,0.3333333333,0,0.7857142857,0.5994475138,0.5150106349
0.2424242424,0.6428571429,0.3333333333,1,0.07142857143,0.5110497238,0.6418435087
0.6666666667,0.07142857143,0.3333333333,1,0.2857142857,0.5690607735,0.741476707
0.1515151515,0.2857142857,0.3333333333,1,0.07142857143,0.6049723757,0.5033063873
0.8181818182,0.4285714286,0.5,1,0.2857142857,0.4392265193,0.5072801318
0.5757575758,0.07142857143,0.3333333333,0,0.6428571429,0.546961326,0.6751928089
0.6060606061,0.1428571429,0.5,1,0.2857142857,0.5248618785,0.6248697106
0.3636363636,0.2857142857,0.3333333333,0,0.4285714286,0.5414364641,0.3590991013
0.9090909091,0.07142857143,0.3333333333,0,0.4285714286,0.4585635359,0.478941314
0.3636363636,0.2142857143,0.3333333333,1,0.07142857143,0.591160221,0.7917886457
0.4242424242,0.2857142857,0.1666666667,1,0.07142857143,0.6436464088,0.4346176361
0.9393939394,0.1428571429,0.5,2,0.4285714286,0.4972375691,0.6515289484
0.5454545455,0.7142857143,0.3333333333,0,0.4285714286,0.4972375691,0.695752386
0.2424242424,0.2857142857,0.5,1,0.07142857143,0.6022099448,0.4889247857
0.4848484848,0.6428571429,0.5,0,0.5,0.4723756906,0.38620045
0.2727272727,0,0.1666666667,0,0.4285714286,0.4364640884,0.388020064
0.5151515152,0.1428571429,0.1666666667,1,0.1428571429,0.5220994475,0.4533738756
0.3333333333,0.6428571429,0.6666666667,1,0.2857142857,0.6022099448,0.5157499351
0.4545454545,0.4285714286,0.3333333333,1,0.4285714286,0.4337016575,0.7224656244
0.3939393939,0.4285714286,0.3333333333,0,0.07142857143,0.4309392265,0.4784852065
0.3333333333,0,0.5,2,0.1428571429,0.635359116,0.4619675192
0.7575757576,0.07142857143,0.1666666667,1,0,0.7845303867,0.8644068339
0.2727272727,0.5714285714,0.1666666667,1,0.07142857143,0.7154696133,0.5603772852
0.09090909091,0.2142857143,0.1666666667,2,0,0.5552486188,0.6109509786
0.1515151515,0,0.1666666667,2,0.2857142857,0.5138121547,0.5051692677
0.4848484848,0,0.1666666667,2,0.1428571429,0.544198895,0.5406195155
0.8484848485,0.3571428571,0.3333333333,0,0.2142857143,0.6436464088,0.8029954254
0.1818181818,0.07142857143,0.1666666667,0,0.07142857143,0.6022099448,0.583567375
0.7878787879,0.07142857143,0.3333333333,1,0.07142857143,0.773480663,0.5307601339
0.5757575758,0.7857142857,0.3333333333,0,0.07142857143,0.6906077348,0.6882911292
0.8181818182,0.3571428571,0.3333333333,0,0.07142857143,0.3011049724,0.4858718588
0.6060606061,0.7857142857,0.5,1,0.07142857143,0.5580110497,0.7432126417
0.9090909091,0.4285714286,0.3333333333,0,0.4285714286,0.5524861878,0.6519752484
0.8787878788,0.07142857143,0.1666666667,0,0,0.6077348066,0.6101943805
0.1212121212,0.4285714286,0.3333333333,1,0.07142857143,0.5497237569,0.4508152024
0.06060606061,0.07142857143,0.3333333333,0,0.4285714286,0.6546961326,0.663268178
0.6666666667,0.7857142857,0.1666666667,0,0.1428571429,0.6464088398,0.8210337908
0.4545454545,0.3571428571,0.3333333333,1,0.4285714286,0.5165745856,0.8403698354
0.5454545455,0.4285714286,0.3333333333,0,0,0.4972375691,0.644267641
0.696969697,0.7142857143,0.1666666667,0,0.07142857143,0.5745856354,0.4734770738
0.2424242424,0.2857142857,0.1666666667,0,0.4285714286,0.6104972376,0.5778145483
0.8484848485,0.5714285714,0.1666666667,1,0,0.5248618785,0.4983398321
1,0.6428571429,0.5,0,0.6428571429,0.6049723757,0.6144943571
0.09090909091,0.1428571429,0.1666666667,0,0.4285714286,0.4972375691,0.5564249875
0.0303030303,0.2142857143,0.3333333333,1,0.1428571429,0.6270718232,0.4245819247
0.9393939394,0.5714285714,0,1,0,0.5,0.7428299742
0.1818181818,0.4285714286,0.1666666667,0,0,0.5055248619,0.4935172718
0.9696969697,0.7857142857,0.5,0,0.5714285714,0.5248618785,0.7434886535
0,0.4285714286,0.1666666667,0,0.07142857143,0.4917127072,0.5557278001
0.7272727273,0.3571428571,0.3333333333,0,0.2142857143,0.5110497238,0.7798318295
0.6666666667,0,0.1666666667,0,0.5,0.4889502762,0.3443044175
0.8181818182,0.3571428571,0.1666666667,0,0.4285714286,0.4254143646,0.6245964367
0.6060606061,0.2857142857,0.5,1,0.07142857143,0.4502762431,0.5368063881
